customer_id,source_id,first_name,middle_name,last_name,dob,gender,nationality,marital_status,occupation,avg_family_size,income_level,date_onboarded,created_date,updated_date,effective_start_date,effective_end_date,Identifier_type,identifier
1,ERP,CORT123,,Taverner,1/1/1984 0:00,Male,American,Married,Developer III,2,High,12/30/2012 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,346-44-7571
3,ERP,NANA,,Gower,12/26/1965 0:00,Female,American,Married,Account Representative IV,3,Low,12/27/2015 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,068-07-3551
4,ERP,TRISTAM,,Mullins,12/29/1974 0:00,Male,American,Married,Staff Accountant IV,4,High,12/30/2012 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,154-72-5702
5,ERP,GASPARD,,Barrett,1/1/1978 0:00,Male,American,Married,Environmental Specialist,5,Medium,1/1/2012 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,431-65-3247
6,ERP,MARGEAUX,,Windibank,1/1/1984 0:00,Female,American,Married,Research Assistant IV,6,Low,12/28/2014 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,633-62-1968
7,ERP,LIESA,,Ramsbotham,12/26/1971 0:00,Female,American,Married,Occupational Therapist,2,High,1/1/2012 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,096-76-6972
8,ERP,CORT,,Lyston,1/1/1984 0:00,Male,American,Married,Senior Editor,3,Medium,12/28/2014 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,587-10-2151
9,ERP,IGNAZ,,Bramelt,12/26/1971 0:00,Male,American,Married,Research Associate,4,Low,12/28/2014 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,743-64-5044
10,ERP,LORRI,,Antczak,12/28/1980 0:00,Female,American,Married,Software Engineer IV,5,High,12/27/2015 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,797-91-2750
11,ERP,KRISTOFER,,Le Grand,12/31/1961 0:00,Male,American,Married,Environmental Tech,6,Medium,12/29/2013 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,153-61-0433
12,ERP,GINO,,Shrieves,12/26/1982 0:00,Male,American,Married,Software Engineer II,2,Low,1/1/2012 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,870-55-1660
